 11  404.756034 1.946E-30 1.836E-03.01420.172 4331.08690.32-.000100          0 0 0          0 0 0 18  6 12       19  3 17      344233443231712211    37.0   39.0
 11  404.843223 5.334E-30 1.231E-01.04970.333 4851.53760.570.002000          1 0 0          0 0 1  9  6  4        8  4  5      4442334432287122 7    19.0   17.0
 11  405.035356 8.912E-27 3.006E+01.02560.371 4407.15770.63-.002800          0 2 0          0 2 0  7  7  1        6  6  0      5742233533297122 9    15.0   13.0
 11  405.079415 3.436E-29 2.194E-02.07620.371 4290.75680.63-.002200          1 0 0          0 0 1  7  5  2        6  1  5      4442334432287122 8    45.0   39.0
 11  405.146705 2.483E-26 2.792E+01.03040.371 4407.04630.630.001300          0 2 0          0 2 0  7  7  0        6  6  1      5342233533257122 7    45.0   39.0
 11  405.495533 4.912E-22 3.229E-02.06860.330 1006.11570.630.001640          0 0 0          0 0 0  8  6  3        8  3  6      574426333385641837    51.0   51.0
 11  405.501572 2.693E-25 3.549E-02.06600.352 2318.53990.610.005900          0 1 0          0 1 0  7  5  3        7  2  6      5742233333287122 8    15.0   15.0
 11  405.584760 3.967E-30 7.509E-04.08970.371 3784.67720.63-.004440          1 0 0          0 2 0  6  1  5        6  2  4      4442234432257122 7    13.0   13.0
 11  405.595965 1.257E-30 2.379E-04.08810.391 3976.30810.670.003700          1 0 0          1 0 0  5  5  0        5  0  5      4442334432287122 8    33.0   33.0
 11  405.628300 6.433E-30 1.970E-02.05790.315 4661.44820.550.006400          0 0 1          0 0 1  9  4  6        9  1  9      4442334432287122 8    57.0   57.0
 11  405.657629 3.756E-30 7.483E-04.07520.391 3719.49100.67-.003952          0 0 1          0 2 0  4  3  2        5  3  3      444233443225712210     9.0   11.0
 11  405.940198 2.226E-30 5.132E-02.05490.315 4850.44090.550.003600          1 0 0          1 0 0  9  6  4        9  3  7      4442334432287122 8    19.0   19.0
 11  406.167886 2.602E-26 2.151E+01.05090.352 4368.63690.61-.006800          0 2 0          0 2 0  8  6  3        7  5  2      5742233533287122 7    51.0   45.0
 11  406.259348 1.644E-28 1.848E+00.07380.315 4949.00290.550.010300          0 0 1          0 0 1 10  4  6        9  3  7      4442334432287122 8    63.0   57.0
 11  406.365240 1.413E-25 2.265E+01.02530.101 4201.85540.15-.000969          0 0 0          0 0 0 19  3 16       18  4 15      574426333385641837   117.0  111.0
 11  406.453123 3.921E-30 1.209E-02.05990.371 4613.57320.630.001400          1 0 0          0 0 1  7  7  0        6  5  1      444233443230712210    45.0   39.0
